season,supply,supply_formatted,calculated_value,cumulative_sum
2557,11356148233772,11356148.233772,4731728430.738337,4731728430.738337
2558,11351076061468,11351076.061468,4729615025.611670,9461343456.350006
2559,11350577081568,11350577.081568,4729407117.320004,14190750573.670010
2560,11350578101668,11350578.101668,4729407542.361670,18920158116.031681
2561,11350579121768,11350579.121768,4729407967.403337,23649566083.435020
2562,11350580141868,11350580.141868,4729408392.445004,28378974475.880024
2563,11350581161968,11350581.161968,4729408817.486670,33108383293.366695
2564,11350582182068,11350582.182068,4729409242.528337,37837792535.895035
2565,11348372524836,11348372.524836,4728488552.015003,42566281087.910034
2566,11348373544936,11348373.544936,4728488977.056670,47294770064.966705
2567,11348374565036,11348374.565036,4728489402.098337,52023259467.065041
2568,11347315230111,11347315.230111,4728048012.546253,56751307479.611298
2569,11347316250211,11347316.250211,4728048437.587920,61479355917.199219
2570,11347214456456,11347214.456456,4728006023.523337,66207361940.722557
2571,11347215476556,11347215.476556,4728006448.565003,70935368389.287567
2572,11347216496656,11347216.496656,4728006873.606670,75663375262.894241
2573,11347217537260,11347217.537260,4728007307.191670,80391382570.085907
2574,11347218557360,11347218.557360,4728007732.233336,85119390302.319244
2575,11347219577460,11347219.577460,4728008157.275003,89847398459.594254
2576,11344957405189,11344957.405189,4727065585.495420,94574464045.089676
2577,11344958425289,11344958.425289,4727066010.537086,99301530055.626770
2578,11344959445389,11344959.445389,4727066435.578753,104028596491.205521
2579,11344960465489,11344960.465489,4727066860.620420,108755663351.825943
2580,11344961485589,11344961.485589,4727067285.662087,113482730637.488037
2581,11344962505689,11344962.505689,4727067710.703753,118209798348.191788
2582,11344963525789,11344963.525789,4727068135.745420,122936866483.937210
2583,11344964545889,11344964.545889,4727068560.787087,127663935044.724304
2584,11344965565989,11344965.565989,4727068985.828754,132391004030.553055
2585,11344966586089,11344966.586089,4727069410.870420,137118073441.423477
2586,11344916375617,11344916.375617,4727048489.840421,141845121931.263885
2587,11344917395717,11344917.395717,4727048914.882088,146572170846.145966
2588,11344918415817,11344918.415817,4727049339.923754,151299220186.069733
2589,11344919435917,11344919.435917,4727049764.965421,156026269951.035156
2590,11340165005221,11340165.005221,4725068752.175420,160751338703.210571
2591,11340166025321,11340166.025321,4725069177.217087,165476407880.427673
2592,11340167045421,11340167.045421,4725069602.258754,170201477482.686432
2593,11340168065521,11340168.065521,4725070027.300421,174926547509.986847
2594,11340169085621,11340169.085621,4725070452.342087,179651617962.328918
2595,11320170126225,11320170.126225,4716737552.593754,184368355514.922668
2596,11320171146325,11320171.146325,4716737977.635421,189085093492.558075
2597,11320172166425,11320172.166425,4716738402.677087,193801831895.235168
2598,11320173186525,11320173.186525,4716738827.718754,198518570722.953918
2599,11320174206625,11320174.206625,4716739252.760421,203235309975.714325
2600,11320175226725,11320175.226725,4716739677.802087,207952049653.516418
2601,11320176246825,11320176.246825,4716740102.843754,212668789756.360168
2602,11320177266925,11320177.266925,4716740527.885421,217385530284.245575
2603,11318178287025,11318178.287025,4715907619.593754,222101437903.839325
2604,11318179307125,11318179.307125,4715908044.635421,226817345948.474731
2605,11318180327225,11318180.327225,4715908469.677087,231533254418.151825
2606,11318181347325,11318181.347325,4715908894.718754,236249163312.870575
2607,11318182367425,11318182.367425,4715909319.760421,240965072632.630981
2608,11318183387525,11318183.387525,4715909744.802087,245680982377.433075
2609,11318184407625,11318184.407625,4715910169.843754,250396892547.276825
2610,11318185427725,11318185.427725,4715910594.885421,255112803142.162231
2611,11318186447825,11318186.447825,4715911019.927087,259828714162.089325
2612,11307627851234,11307627.851234,4711511604.680837,264540225766.770172
2613,11307628871334,11307628.871334,4711512029.722504,269251737796.492676
2614,11307629891434,11307629.891434,4711512454.764171,273963250251.256836
2615,11307630911534,11307630.911534,4711512879.805837,278674763131.062683
2616,11305997800412,11305997.800412,4710832416.838337,283385595547.901001
2617,11305998841016,11305998.841016,4710832850.423337,288096428398.324341
2618,11305999861116,11305999.861116,4710833275.465004,292807261673.789368
2619,11306000881216,11306000.881216,4710833700.506670,297518095374.296021
2620,11306001901316,11306001.901316,4710834125.548337,302228929499.844360
2621,11306002921416,11306002.921416,4710834550.590004,306939764050.434387
2622,11306003941516,11306003.941516,4710834975.631671,311650599026.066040
2623,11306004961616,11306004.961616,4710835400.673337,316361434426.739380
2624,11306005981716,11306005.981716,4710835825.715004,321072270252.454407
2625,11306007001816,11306007.001816,4710836250.756671,325783106503.211060
2626,11306008021916,11306008.021916,4710836675.798337,330493943179.009399
2627,11306009042016,11306009.042016,4710837100.840004,335204780279.849426
2628,11306010062116,11306010.062116,4710837525.881671,339915617805.731079
2629,11306011082216,11306011.082216,4710837950.923337,344626455756.654419
2630,11286012102316,11286012.102316,4702505042.631671,349328960799.286072
2631,11262340239833,11262340.239833,4692641766.597087,354021602565.883179
2632,11262341259933,11262341.259933,4692642191.638754,358714244757.521912
2633,11262342280033,11262342.280033,4692642616.680420,363406887374.202332
2634,11262343300133,11262343.300133,4692643041.722087,368099530415.924438
2635,11262344320233,11262344.320233,4692643466.763754,372792173882.688171
2636,11262345340333,11262345.340333,4692643891.805420,377484817774.493591
2637,11262346360433,11262346.360433,4692644316.847087,382177462091.340698
2638,11262347380533,11262347.380533,4692644741.888754,386870106833.229431
2639,11262348400633,11262348.400633,4692645166.930421,391562752000.159851
2640,11262349420733,11262349.420733,4692645591.972087,396255397592.131958
2641,11262350461337,11262350.461337,4692646025.557087,400948043617.689026
2642,11262351481437,11262351.481437,4692646450.598754,405640690068.287781
2643,11262352501537,11262352.501537,4692646875.640420,410333336943.928223
2644,11258132187102,11258132.187102,4690888411.292504,415024225355.220703
2645,11258133207202,11258133.207202,4690888836.334170,419715114191.554871
2646,11258134227302,11258134.227302,4690889261.375837,424406003452.930725
2647,11258135227302,11258135.227302,4690889678.042504,429096893130.973206
2648,11258136227302,11258136.227302,4690890094.709170,433787783225.682373
2649,11258137227302,11258137.227302,4690890511.375837,438478673737.058228
2650,11258138227302,11258138.227302,4690890928.042503,443169564665.100708
2651,11258139227302,11258139.227302,4690891344.709170,447860456009.809875
2652,11258140227302,11258140.227302,4690891761.375837,452551347771.185730
2653,11258141227302,11258141.227302,4690892178.042503,457242239949.228210
2654,11258142227302,11258142.227302,4690892594.709170,461933132543.937378
2655,11258143227302,11258143.227302,4690893011.375836,466624025555.313232
2656,11258144227302,11258144.227302,4690893428.042503,471314918983.355713
2657,11258145227302,11258145.227302,4690893844.709170,476005812828.064880
2658,11258146227302,11258146.227302,4690894261.375837,480696707089.440735
2659,11258147227302,11258147.227302,4690894678.042503,485387601767.483215
2660,11258148227302,11258148.227302,4690895094.709170,490078496862.192383
2661,11258149227302,11258149.227302,4690895511.375837,494769392373.568237
2662,11258150227302,11258150.227302,4690895928.042504,499460288301.610718
2663,11258151227302,11258151.227302,4690896344.709170,504151184646.319885
2664,11258152227302,11258152.227302,4690896761.375837,508842081407.695740
2665,11258153227302,11258153.227302,4690897178.042503,513532978585.738220
2666,11258154227302,11258154.227302,4690897594.709170,518223876180.447388
2667,11258155227302,11258155.227302,4690898011.375837,522914774191.823242
2668,11258156227302,11258156.227302,4690898428.042504,527605672619.865723
2669,11258157227302,11258157.227302,4690898844.709170,532296571464.574890
2670,11258158227302,11258158.227302,4690899261.375837,536987470725.950745
2671,11258159227302,11258159.227302,4690899678.042503,541678370403.993225
2672,11258160227302,11258160.227302,4690900094.709170,546369270498.702393
2673,11258161227302,11258161.227302,4690900511.375837,551060171010.078247
2674,11258162227302,11258162.227302,4690900928.042504,555751071938.120728
2675,11258163227302,11258163.227302,4690901344.709170,560441973282.829956
2676,11258164227302,11258164.227302,4690901761.375836,565132875044.205811
2677,11258165227302,11258165.227302,4690902178.042503,569823777222.248291
2678,11258166227302,11258166.227302,4690902594.709170,574514679816.957520
2679,11258167227302,11258167.227302,4690903011.375837,579205582828.333374
2680,11258168227302,11258168.227302,4690903428.042503,583896486256.375854
2681,11258169227302,11258169.227302,4690903844.709170,588587390101.085083
2682,11258170227302,11258170.227302,4690904261.375837,593278294362.460938
2683,11258171227302,11258171.227302,4690904678.042504,597969199040.503418
2684,11258172227302,11258172.227302,4690905094.709170,602660104135.212646
2685,11258173227302,11258173.227302,4690905511.375837,607351009646.588501
2686,11258174227302,11258174.227302,4690905928.042503,612041915574.630981
2687,11258175227302,11258175.227302,4690906344.709170,616732821919.340210
2688,11258176227302,11258176.227302,4690906761.375837,621423728680.716064
2689,11258177227302,11258177.227302,4690907178.042504,626114635858.758545
2690,11258178227302,11258178.227302,4690907594.709170,630805543453.467773
2691,11258179227302,11258179.227302,4690908011.375837,635496451464.843628
2692,11258180227302,11258180.227302,4690908428.042503,640187359892.886108
2693,11258181227302,11258181.227302,4690908844.709170,644878268737.595337
2694,11258182227302,11258182.227302,4690909261.375837,649569177998.971191
2695,11258183227302,11258183.227302,4690909678.042504,654260087677.013672
2696,11258184227302,11258184.227302,4690910094.709170,658950997771.722900
2697,11258185227302,11258185.227302,4690910511.375836,663641908283.098755
2698,11258186227302,11258186.227302,4690910928.042503,668332819211.141235
2699,11258187227302,11258187.227302,4690911344.709170,673023730555.850464
2700,11258188227302,11258188.227302,4690911761.375837,677714642317.226318
2701,11258189227302,11258189.227302,4690912178.042503,682405554495.268799
2702,11258190227302,11258190.227302,4690912594.709170,687096467089.978027
2703,11258191227302,11258191.227302,4690913011.375837,691787380101.353882
2704,11258192227302,11258192.227302,4690913428.042504,696478293529.396362
2705,11258193227302,11258193.227302,4690913844.709170,701169207374.105591
2706,11258194227302,11258194.227302,4690914261.375837,705860121635.481445
2707,11258195227302,11258195.227302,4690914678.042503,710551036313.523926
2708,11258196227302,11258196.227302,4690915094.709170,715241951408.233154
2709,11258197227302,11258197.227302,4690915511.375837,719932866919.609009
2710,11258198227302,11258198.227302,4690915928.042504,724623782847.651489
2711,11258199227302,11258199.227302,4690916344.709170,729314699192.360718
2712,11258200227302,11258200.227302,4690916761.375837,734005615953.736572
2713,11258201227302,11258201.227302,4690917178.042503,738696533131.779053
2714,11258202227302,11258202.227302,4690917594.709170,743387450726.488281
2715,11258203227302,11258203.227302,4690918011.375837,748078368737.864136
2716,11258204227302,11258204.227302,4690918428.042504,752769287165.906616
2717,11258205227302,11258205.227302,4690918844.709170,757460206010.615845
2718,11258206227302,11258206.227302,4690919261.375837,762151125271.991699
2719,11258207227302,11258207.227302,4690919678.042503,766842044950.034180
2720,11258208227302,11258208.227302,4690920094.709170,771532965044.743408
2721,11258209227302,11258209.227302,4690920511.375837,776223885556.119263
2722,11258210227302,11258210.227302,4690920928.042503,780914806484.161743
2723,11258211227302,11258211.227302,4690921344.709170,785605727828.870972
2724,11258212227302,11258212.227302,4690921761.375837,790296649590.246826
2725,11258213227302,11258213.227302,4690922178.042503,794987571768.289307
2726,11258214227302,11258214.227302,4690922594.709170,799678494362.998535
2727,11258215227302,11258215.227302,4690923011.375837,804369417374.374390
2728,11258216227302,11258216.227302,4690923428.042503,809060340802.416870
2729,11258217227302,11258217.227302,4690923844.709170,813751264647.126099
2730,11258218227302,11258218.227302,4690924261.375837,818442188908.501953
2731,11258219227302,11258219.227302,4690924678.042504,823133113586.544434
2732,11258220227302,11258220.227302,4690925094.709170,827824038681.253662
2733,11258221227302,11258221.227302,4690925511.375837,832514964192.629517
2734,11258222227302,11258222.227302,4690925928.042503,837205890120.671997
2735,11258223227302,11258223.227302,4690926344.709170,841896816465.381226
2736,11258224227302,11258224.227302,4690926761.375837,846587743226.757080
2737,11258225227302,11258225.227302,4690927178.042504,851278670404.799561
2738,11258226227302,11258226.227302,4690927594.709170,855969597999.508789
2739,11258227227302,11258227.227302,4690928011.375837,860660526010.884644
2740,11258228227302,11258228.227302,4690928428.042503,865351454438.927124
2741,11258229227302,11258229.227302,4690928844.709170,870042383283.636353
2742,11258230227302,11258230.227302,4690929261.375837,874733312545.012207
2743,11258231227302,11258231.227302,4690929678.042503,879424242223.054688
2744,11258232227302,11258232.227302,4690930094.709170,884115172317.763916
2745,11258233227302,11258233.227302,4690930511.375837,888806102829.139771
2746,11258234227302,11258234.227302,4690930928.042503,893497033757.182251
2747,11258235227302,11258235.227302,4690931344.709170,898187965101.891479
2748,11258236227302,11258236.227302,4690931761.375837,902878896863.267334
2749,11258237227302,11258237.227302,4690932178.042503,907569829041.309814
2750,11258238227302,11258238.227302,4690932594.709170,912260761636.019043
2751,11258239227302,11258239.227302,4690933011.375837,916951694647.394897
2752,11258240227302,11258240.227302,4690933428.042504,921642628075.437378
2753,11258241227302,11258241.227302,4690933844.709170,926333561920.146606
2754,11258242227302,11258242.227302,4690934261.375837,931024496181.522461
2755,11258243227302,11258243.227302,4690934678.042503,935715430859.564941
2756,11258244227302,11258244.227302,4690935094.709170,940406365954.274170
2757,11258245227302,11258245.227302,4690935511.375837,945097301465.650024
