season,supply_formatted,calculated_value,cumulative_sum
2558,11351076.061468,4729.615026,4729.615026
2559,11350577.081568,4729.407117,9459.022143
2560,11350578.101668,4729.407542,14188.429685
2561,11350579.121768,4729.407967,18917.837653
2562,11350580.141868,4729.408392,23647.246045
2563,11350581.161968,4729.408817,28376.654863
2564,11350582.182068,4729.409243,33106.064105
2565,11348372.524836,4728.488552,37834.552657
2566,11348373.544936,4728.488977,42563.041634
2567,11348374.565036,4728.489402,47291.531036
2568,11347315.230111,4728.048013,52019.579049
2569,11347316.250211,4728.048438,56747.627486
2570,11347214.456456,4728.006024,61475.633510
2571,11347215.476556,4728.006449,66203.639959
2572,11347216.496656,4728.006874,70931.646832
2573,11347217.537260,4728.007307,75659.654139
2574,11347218.557360,4728.007732,80387.661872
2575,11347219.577460,4728.008157,85115.670029
2576,11344957.405189,4727.065585,89842.735614
2577,11344958.425289,4727.066011,94569.801625
2578,11344959.445389,4727.066436,99296.868060
2579,11344960.465489,4727.066861,104023.934921
2580,11344961.485589,4727.067286,108751.002207
2581,11344962.505689,4727.067711,113478.069917
2582,11344963.525789,4727.068136,118205.138053
2583,11344964.545889,4727.068561,122932.206614
2584,11344965.565989,4727.068986,127659.275600
2585,11344966.586089,4727.069411,132386.345011
2586,11344916.375617,4727.048490,137113.393501
2587,11344917.395717,4727.048915,141840.442415
2588,11344918.415817,4727.049340,146567.491755
2589,11344919.435917,4727.049765,151294.541520
2590,11340165.005221,4725.068752,156019.610272
2591,11340166.025321,4725.069177,160744.679450
2592,11340167.045421,4725.069602,165469.749052
2593,11340168.065521,4725.070027,170194.819079
2594,11340169.085621,4725.070452,174919.889532
2595,11320170.126225,4716.737553,179636.627084
2596,11320171.146325,4716.737978,184353.365062
2597,11320172.166425,4716.738403,189070.103464
2598,11320173.186525,4716.738828,193786.842292
2599,11320174.206625,4716.739253,198503.581545
2600,11320175.226725,4716.739678,203220.321223
2601,11320176.246825,4716.740103,207937.061326
2602,11320177.266925,4716.740528,212653.801854
2603,11318178.287025,4715.907620,217369.709473
2604,11318179.307125,4715.908045,222085.617518
2605,11318180.327225,4715.908470,226801.525987
2606,11318181.347325,4715.908895,231517.434882
2607,11318182.367425,4715.909320,236233.344202
2608,11318183.387525,4715.909745,240949.253947
2609,11318184.407625,4715.910170,245665.164117
2610,11318185.427725,4715.910595,250381.074711
2611,11318186.447825,4715.911020,255096.985731
2612,11307627.851234,4711.511605,259808.497336
2613,11307628.871334,4711.512030,264520.009366
2614,11307629.891434,4711.512455,269231.521821
2615,11307630.911534,4711.512880,273943.034700
2616,11305997.800412,4710.832417,278653.867117
2617,11305998.841016,4710.832850,283364.699968
2618,11305999.861116,4710.833275,288075.533243
2619,11306000.881216,4710.833701,292786.366944
2620,11306001.901316,4710.834126,297497.201069
2621,11306002.921416,4710.834551,302208.035620
2622,11306003.941516,4710.834976,306918.870595
2623,11306004.961616,4710.835401,311629.705996
2624,11306005.981716,4710.835826,316340.541822
2625,11306007.001816,4710.836251,321051.378072
2626,11306008.021916,4710.836676,325762.214748
2627,11306009.042016,4710.837101,330473.051849
2628,11306010.062116,4710.837526,335183.889375
2629,11306011.082216,4710.837951,339894.727326
2630,11286012.102316,4702.505043,344597.232369
2631,11262340.239833,4692.641767,349289.874135
2632,11262341.259933,4692.642192,353982.516327
2633,11262342.280033,4692.642617,358675.158943
2634,11262343.300133,4692.643042,363367.801985
2635,11262344.320233,4692.643467,368060.445452
2636,11262345.340333,4692.643892,372753.089344
2637,11262346.360433,4692.644317,377445.733661
2638,11262347.380533,4692.644742,382138.378402
2639,11262348.400633,4692.645167,386831.023569
2640,11262349.420733,4692.645592,391523.669161
2641,11262350.461337,4692.646026,396216.315187
2642,11262351.481437,4692.646451,400908.961638
2643,11262352.501537,4692.646876,405601.608513
2644,11258132.187102,4690.888411,410292.496924
2645,11258133.207202,4690.888836,414983.385761
2646,11258134.227302,4690.889261,419674.275022
2647,11258135.247402,4690.889686,424365.164709
2648,11258136.267502,4690.890111,429056.054820
2649,11258137.287602,4690.890537,433746.945357
2650,11258138.307702,4690.890962,438437.836318
2651,11258139.327802,4690.891387,443128.727705
2652,11258140.347902,4690.891812,447819.619516
2653,11258141.368002,4690.892237,452510.511753
2654,11239567.004225,4683.152918,457193.664671
2655,11239568.024325,4683.153343,461876.818015
2656,11239569.044425,4683.153769,466559.971783
2657,11239570.064525,4683.154194,471243.125977
2658,11239571.084625,4683.154619,475926.280596
2659,11239572.459566,4683.155191,480609.435787
2660,11239573.479666,4683.155617,485292.591404
2661,11239574.499766,4683.156042,489975.747445
2662,11239575.519866,4683.156467,494658.903912
2663,11239520.735720,4683.133640,499342.037552
2664,11239521.755820,4683.134065,504025.171617
2665,11239522.775920,4683.134490,508708.306107
2666,11239523.796020,4683.134915,513391.441022
2667,11239524.816120,4683.135340,518074.576362
2668,11239525.836220,4683.135765,522757.712127
2669,11239526.856320,4683.136190,527440.848317
2670,11239527.876420,4683.136615,532123.984932
2671,11239528.896520,4683.137040,536807.121972
2672,11239529.916620,4683.137465,541490.259437
2673,11239530.936720,4683.137890,546173.397328
2674,11239531.956820,4683.138315,550856.535643
2675,11239532.976920,4683.138740,555539.674383
2676,11239533.997020,4683.139165,560222.813549
2677,11239535.017120,4683.139590,564905.953139
2678,11239536.037220,4683.140016,569589.093155
2679,11239537.057320,4683.140441,574272.233595
2680,11239538.077420,4683.140866,578955.374461
2681,11226801.758919,4677.834066,583633.208527
2682,11226302.779019,4677.626158,588310.834685
2683,11226303.799119,4677.626583,592988.461268
2684,11226304.819219,4677.627008,597666.088276
2685,11226305.839319,4677.627433,602343.715709
2686,11226306.859419,4677.627858,607021.343567
2687,11226307.900023,4677.628292,611698.971859
2688,11224652.933023,4676.938722,616375.910581
2689,11224653.953123,4676.939147,621052.849728
2690,11224654.973223,4676.939572,625729.789300
2691,11224655.993323,4676.939997,630406.729298
2692,11224657.013423,4676.940422,635083.669720
2693,11224658.033523,4676.940847,639760.610567
2694,11224659.053623,4676.941272,644437.551839
2695,11224660.073723,4676.941697,649114.493537
2696,11224661.093823,4676.942122,653791.435659
2697,11224662.113923,4676.942547,658468.378207
2698,11224663.134023,4676.942973,663145.321179
2699,11224664.154123,4676.943398,667822.264577
2700,11224665.174223,4676.943823,672499.208399
2701,11224666.194323,4676.944248,677176.152647
2702,11224667.214423,4676.944673,681853.097320
2703,11224668.234523,4676.945098,686530.042417
2704,11214070.420495,4672.529342,691202.571759
2705,11214071.440595,4672.529767,695875.101526
2706,11214072.460695,4672.530192,700547.631718
2707,11214073.480795,4672.530617,705220.162335
2708,11204074.500895,4668.364375,709888.526711
2709,11204075.520995,4668.364800,714556.891511
2710,11154076.541095,4647.531892,719204.423403
2711,11154077.561195,4647.532317,723851.955720
2712,11154078.581295,4647.532742,728499.488462
2713,11154079.601395,4647.533167,733147.021630
2714,11150110.480232,4645.879367,737792.900996
2715,11150111.500332,4645.879792,742438.780788
2716,11146308.619863,4644.295258,747083.076047
2717,11146309.639963,4644.295683,751727.371730
2718,11146310.660063,4644.296108,756371.667838
2719,11146311.680163,4644.296533,761015.964372
2720,11146312.700263,4644.296958,765660.261330
2721,11146313.720363,4644.297383,770304.558714
2722,11146314.740463,4644.297809,774948.856522
2723,11146315.760563,4644.298234,779593.154756
2724,11146316.780663,4644.298659,784237.453414
2725,11146317.800763,4644.299084,788881.752498
2726,11146318.820863,4644.299509,793526.052007
2727,11144888.219500,4643.703425,798169.755431
2728,11143385.066124,4643.077111,802812.832542
2729,11141798.091504,4642.415871,807455.248414
2730,11141799.111604,4642.416297,812097.664710
2731,11141800.131704,4642.416722,816740.081432
2732,11141575.903059,4642.323293,821382.404725
2733,11141576.923159,4642.323718,826024.728443
2734,11140871.598278,4642.029833,830666.758275
2735,11140144.122793,4641.726718,835308.484993
2736,11140145.142893,4641.727143,839950.212136
2737,11139736.623380,4641.556926,844591.769062
2738,11139300.147786,4641.375062,849233.144124
2739,11138838.917596,4641.182882,853874.327006
2740,11138839.937696,4641.183307,858515.510314
2741,11138840.957796,4641.183732,863156.694046
2742,11138841.977896,4641.184157,867797.878204
2743,11138842.997996,4641.184582,872439.062786
2744,11138844.018096,4641.185008,877080.247794
2745,11138845.058700,4641.185441,881721.433235
2746,11138846.078800,4641.185866,886362.619101
2747,11138847.098900,4641.186291,891003.805392
2748,11138848.119000,4641.186716,895644.992108
2749,11138814.449100,4641.172687,900286.164795
2750,11138815.489704,4641.173121,904927.337916
2751,11138753.275341,4641.147198,909568.485114
2752,11138754.295441,4641.147623,914209.632737
2753,11138683.185676,4641.117994,918850.750731
2754,11138579.649556,4641.074854,923491.825585
2755,11138445.861168,4641.019109,928132.844694
2756,11138281.608475,4640.950670,932773.795364
2757,11138081.595017,4640.867331,937414.662696
2758,11138082.615117,4640.867756,942055.530452
2759,11138012.418835,4640.838508,946696.368960
2760,11138013.438935,4640.838933,951337.207893
